2021-05-18 23:43:25 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.34', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:49:13 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': []}
2021-05-18 23:51:31 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 45, 'disable_domains': []}
2021-05-18 23:52:45 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '106.14.198.6', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:45 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '39.106.223.134', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:46 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '218.60.8.83', 'port': '3129', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:46 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '13.51.131.184', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-18 23:52:50 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 44, 'disable_domains': []}
2021-05-18 23:52:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '212.179.18.75', 'port': '3128', 'protocol': 2, 'nick_type': 2, 'speed': 0.78, 'area': '以色列 Tel Aviv 特拉维夫', 'score': 50, 'disable_domains': []}
2021-05-18 23:52:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '41.59.90.92', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 1.42, 'area': '坦桑尼亚 Dar es Salaam Region 达累斯萨拉姆', 'score': 50, 'disable_domains': []}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.34', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': []}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '58.250.21.56', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.187', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': ['taobao.com', 'baidu.com', 'baidu.com', 'baidu.com']}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.186', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.145.32.98', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.188', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': ['jingdong.com']}
2021-05-18 23:53:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.189', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 45, 'disable_domains': ['tianmao.com']}
2021-05-18 23:53:06 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.190', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 45, 'disable_domains': ['jd.com']}
2021-05-18 23:53:07 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '78.47.16.54', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 0.67, 'area': '德国 巴伐利亚 纽伦堡', 'score': 50, 'disable_domains': []}
2021-05-18 23:53:09 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.7.10.118', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '新加坡 XX XX', 'score': 48, 'disable_domains': []}
2021-05-18 23:53:12 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '167.99.118.98', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '美国 新泽西州 克利夫頓', 'score': 48, 'disable_domains': []}
2021-05-18 23:53:12 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '65.21.3.120', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '芬兰 Uusimaa XX', 'score': 48, 'disable_domains': []}
2021-05-18 23:53:12 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.99.77.254', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 香港 XX', 'score': 48, 'disable_domains': []}
2021-05-18 23:53:13 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '75.119.144.28', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 0.66, 'area': '美国 佛罗里达 XX', 'score': 50, 'disable_domains': []}
2021-05-18 23:53:16 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '113.100.209.211', 'port': '3128', 'protocol': 0, 'nick_type': 2, 'speed': 0.54, 'area': '中国 广东省 惠州市', 'score': 50, 'disable_domains': []}
2021-05-18 23:53:18 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '47.241.16.190', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '新加坡 XX XX', 'score': 48, 'disable_domains': []}
2021-05-18 23:53:18 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '183.88.226.50', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.31, 'area': '泰国 曼谷 曼谷', 'score': 50, 'disable_domains': []}
